"","�..HALTER_ID","ALTER","GESCHLECHT","STADTKREIS","STADTQUARTIER","RASSE1","RASSE2","GEBURTSJAHR_HUND","GESCHLECHT_HUND","HUNDEFARBE"
"2333",91490,"51-60","w",3,34,"Chihuahua","",2008,"w","weiss"
"2334",91504,"71-80","w",3,33,"Cocker Spaniel","",2009,"m","schwarz"
"2335",91504,"71-80","w",3,33,"English Cocker Spaniel","",2007,"m","mehrfarbig"
"2336",91628,"61-70","m",10,102,"Briard","",2007,"m","fauve"
"2337",91671,"21-30","w",6,63,"Barbet","",2011,"m","weiss/schwarz"
"2338",91681,"61-70","w",7,71,"Spaniel","",2005,"m","braun/weiss"
"2339",91693,"51-60","w",11,119,"Yorkshire Terrier","",2012,"m","schwarz/braun"
"2340",91718,"21-30","w",5,51,"Mops","",2009,"m","schwarz"
"2341",91728,"41-50","m",5,52,"Jagdhund","",2005,"m","schwarz/braun"
"2342",91772,"51-60","m",11,119,"Flat Coated Retriever","",2008,"m","schwarz"
"2343",91797,"31-40","w",11,111,"Golden Retriever","",2002,"m","blondfarben"
"2344",91812,"31-40","w",12,122,"Jack Russel Terrier","",2010,"w","tricolor"
"2345",91815,"81-90","m",8,82,"Shar Pei","",2007,"w","schwarz"
"2346",91838,"31-40","w",7,72,"Jack Russel Terrier","",2007,"w","weiss/schwarz"
"2347",91842,"71-80","w",9,92,"Shetland Sheepdog","",2007,"m","blue/merle"
"2348",91888,"51-60","w",11,115,"Golden Retriever","Appenzeller",2003,"m","schwarz/braun/weiss"
"2349",91936,"61-70","w",2,21,"Husky","",2008,"w","sandfarbig"
"2350",91939,"51-60","w",9,92,"Yorkshire Terrier","",2008,"w","black/tan"
"2351",91939,"51-60","w",9,92,"Yorkshire Terrier","",2013,"w","steelblue/tan"
"2352",91952,"81-90","m",6,63,"Mischling klein","",2004,"m","schwarz"
"2353",91964,"51-60","w",3,31,"Labrador Retriever","",2007,"w","beige"
"2354",91968,"71-80","w",10,101,"Basenji","",2007,"m","rot/weiss"
"2355",91979,"41-50","w",10,101,"Schäfer","Mischling klein",2007,"m","grau gestromt"
"2356",92024,"51-60","m",10,101,"Briard","",2007,"w","schwarz/weiss"
"2357",92024,"51-60","m",10,101,"Berger de Brie","",2007,"m","fauve"
"2358",92060,"31-40","w",3,31,"Staffordshire Bull Terrier","Boxer",2006,"m","braun/schwarz/weiss"
"2359",92069,"51-60","m",9,91,"Foxterrier","",2007,"w","tricolor"
"2360",92071,"31-40","m",11,111,"Deutsche Dogge","",2013,"w","schwarz/weiss"
"2361",92083,"71-80","w",9,92,"Toller","",2007,"m","rot/weiss"
"2362",92094,"71-80","w",11,115,"Pumi","",2007,"w","schwarz/grau"
"2363",92095,"31-40","w",1,14,"Belgischer Schäfer","",2007,"w","beige"
"2364",92122,"21-30","w",10,101,"Briard","Berger de Brie",2007,"w","schwarz/weiss"
"2365",92158,"51-60","w",3,34,"Soft Coated Wheaten Terrier","",2006,"w","wildfarbig"
"2366",92159,"61-70","w",7,73,"Jack Russel Terrier","",2014,"m","braun/weiss"
"2367",92160,"41-50","w",11,111,"Galgo Español","",2012,"w","braun gestromt"
"2368",92162,"51-60","m",6,63,"Beagle","",2007,"m","tricolor"
"2369",92169,"51-60","w",6,63,"Australian Shepherd","",2008,"m","blue/merle"
"2370",92260,"61-70","m",7,71,"Riesenschnauzer","",2016,"w","schwarz"
"2371",92294,"61-70","w",8,82,"Jack Russel Terrier","",2007,"w","tricolor"
"2372",92305,"51-60","w",8,82,"Beagle","",2007,"w","tricolor"
"2373",92310,"31-40","w",9,91,"Maremmano","Bergamasker",2005,"m","braun/weiss"
"2374",92317,"51-60","w",11,119,"Mischling klein","",2004,"w","tricolor"
"2375",92328,"61-70","w",11,119,"Bergamasker","Appenzeller",2006,"w","braun/weiss"
"2376",92357,"41-50","w",3,34,"Irish Terrier","",1998,"w","braun"
"2377",92374,"21-30","m",4,44,"Tibetan Spaniel","Shih Tzu",2010,"m","tricolor"
"2378",92389,"31-40","m",7,73,"Havaneser","",2008,"w","creme"
"2379",92394,"61-70","w",10,102,"Shiba Inu","",2011,"w","schwarz/braun"
"2380",92417,"41-50","m",7,73,"Magyar Viszla","",2016,"m","hellbraun"
"2381",92426,"61-70","w",9,91,"Holländischer Schäfer","",2016,"w","gestromt"
"2382",92434,"31-40","w",10,101,"Labrador Retriever","",2016,"m","braun"
"2383",92455,"31-40","m",11,115,"Malteser","",2005,"w","weiss"
"2384",92465,"21-30","w",9,92,"Französische Bulldogge","",2007,"m","schwarz/weiss"
"2385",92472,"51-60","w",7,74,"Irish Setter","",2007,"w","mahagoni"
"2386",92493,"51-60","w",12,122,"Labrador Retriever","Golden Retriever",2005,"w","braun"
"2387",92574,"41-50","w",11,119,"Pinscher","",2005,"w","braun/schwarz"
"2388",92574,"41-50","w",11,119,"Prager Rattler","",2014,"w","schwarz/braun"
"2389",92575,"51-60","w",5,52,"Windhund","",2014,"m","grau/schwarz"
"2390",92596,"41-50","w",11,119,"Mops","",2006,"w","beige/schwarz"
"2391",92596,"41-50","w",11,119,"Mops","",2002,"w","beige/schwarz"
"2392",92598,"51-60","w",7,72,"Lakeland Terrier","",2007,"m","rot"
"2393",92614,"51-60","m",9,92,"Mischling klein","",2008,"m","weiss"
"2394",92619,"51-60","m",6,63,"Labrador Retriever","Golden Retriever",2004,"m","blondfarben"
"2395",92624,"71-80","w",6,63,"Border Collie","",2005,"w","schwarz/weiss"
"2396",92628,"41-50","w",10,101,"Italienisches Windspiel","",2008,"w","choco"
"2397",92641,"41-50","w",12,123,"Chihuahua","",2016,"m","tricolor"
"2398",92647,"61-70","w",10,101,"Pudel","Cocker Spaniel",2007,"m","apricot"
"2399",92687,"31-40","m",12,123,"Rhodesian Ridgeback","",2007,"m","braun"
"2400",92721,"51-60","w",12,123,"Pinscher","",2011,"m","tricolor"
"2401",92723,"71-80","w",8,83,"Havaneser","",2008,"m","dunkelbraun"
"2402",92744,"41-50","w",12,122,"Labrador Retriever","",2008,"m","braun"
"2403",92747,"51-60","w",10,101,"West Highland White Terrier","",2007,"m","weiss"
